title;author;url;year;rate;ratings;genres;synopsis
Who Goes There?;John W. Campbell Jr.;https://www.goodreads.com/book/show/6468870-who-goes-there;1938;3.8;10468;['Horror', 'Science Fiction', 'Fiction', 'Classics', 'Short Stories', 'Novella', 'Aliens'];"""Who Goes There?"" is the novella that formed the basis of John Carpenter's film The Thing. Campbell's classic story tells of an Antarctic research base that discovers and thaws the ancient, frozen body of a crash-landed alien—with terrifying results!This Wildside Press edition is the only ebook version of this classic story authorized by the Campbell estate."
Tarzan and the Leopard Men (Tarzan, #18);Edgar Rice Burroughs;https://www.goodreads.com/book/show/828210.Tarzan_and_the_Leopard_Men;1935;3.67;1195;['Fantasy', 'Adventure', 'Fiction', 'Classics', 'Action', 'Science Fiction', 'Thriller'];The steel-clawed Leopard Men were looking for victims for their savage rites. The secret cult struck terror in the hearts of all the villagers. Only Orando of the Utengi dared to declare war on them. And with Orando went Tarzan of the Apes -- but a strangely changed Tarzan, who now believed that he was Muzimo, the spirit or demon who had been Orando's ancestor. There were traitors among Orando's people. And in the village of the Leopard Men was Kali Bwana, the white girl who had come to Africa to find a missing man. Only Tarzan could save her....
Tarzan and the Lion Man (Tarzan, #17);Edgar Rice Burroughs;https://www.goodreads.com/book/show/338591.Tarzan_and_the_Lion_Man;1934;3.68;1199;['Fantasy', 'Adventure', 'Fiction', 'Classics', 'Action', 'Pulp', 'Science Fiction'];A great safari had come to Africa to make a movie. It had struggled across the veldt and through the jungle in great ten-ton trucks, equipped with all the advantages of civilization. But now it was halted, almost destroyed by the poisoned arrows of the savage Bansuto tribe. There was no way to return. And ahead lay the strange valley of diamonds, where hairy gorillas lived in their town of London on the Thames, ruled by King Henry the Eighth. Behind them came Tarzan of the Apes with the Golden Lion, seeking the man who might have been his twin brother in looks -- though hardly in courage!
Clark Gifford's Body (New York Review Books Classics);Kenneth Fearing;https://www.goodreads.com/book/show/12869.Clark_Gifford_s_Body;1937;3.55;121;['Fiction', 'Literature', 'Novels', 'American', '20th Century', 'Noir', 'Mystery'];Back in Print After Fifty YearsClark Gifford? A cipher. A disaffected, vaguely idealistic politician in a nameless media-driven modern state where representative politics has dwindled to the corrupt transaction of business as usual and a new foreign war is always breaking out. One night Gifford and his followers seize some radio stations and broadcast a call for freedom—a rebellion that is immediately put down by the government and whose motive will remain forever obscure. Even so, it leads to twenty years of war.A paranoid tour de force of political noir, Clark Gifford’s Body skips back and forth in time, interspersing newspaper clippings and court transcripts with the reactions and reminiscences of the politicians, generals, businessmen, journalists, waiters, and soldiers who double as the actors and the chorus in a drama over which, finally, they have no control. Who here is leading? Who is being led? Fearing’s novel is a pseudo-documentary of a world given over to pseudo-politics and pseudo-events, a prophetic glimpse of the future as a poisonous fog.“I have not developed the habit of reading thrillers, but I have read enough of them to know that from now on Mr. Fearing is my man.”–The New Yorker
"Tarzan at the Earth's Core (Tarzan, #13; Pellucidar, #4)";Edgar Rice Burroughs;https://www.goodreads.com/book/show/338584.Tarzan_at_the_Earth_s_Core;1929;3.88;2083;['Fantasy', 'Fiction', 'Adventure', 'Science Fiction', 'Classics', 'Pulp', 'Action'];Picking up cries for help from Pellucidar, Jason Gridley of Tarzana enlists Tarzan. Gridley and Lord Greystoke travel to the exotic and strange land within the Earth to save Pellucidar Emperor David Innes, captured by Korsar pirates. The savage realm has eternal noon and bizarre monsters.
Tarzan the Invincible (Tarzan, #14);Edgar Rice Burroughs;https://www.goodreads.com/book/show/338586.Tarzan_the_Invincible;1930;3.73;1308;['Adventure', 'Fantasy', 'Fiction', 'Classics', 'Pulp', 'Action', 'Science Fiction'];Tarzan, his monkey friend Nkima, and Chief Muviro and his faithful Waziri warriors prevent Soviet communists from looting the lost city of Opar. The story also prominently features Tarzan's lion ally Jad-bal-ja.The novel was originally serialized in the magazine Blue Book from October, 1930 through April, 1931 as Tarzan, Guard of the Jungle.
Tarzan Triumphant (Tarzan, #15);Edgar Rice Burroughs;https://www.goodreads.com/book/show/2352390.Tarzan_Triumphant;1931;3.73;1261;['Fantasy', 'Adventure', 'Fiction', 'Classics', 'Action', 'Pulp', 'Science Fiction'];Evil men had come to the land that belonged to Tarzan of the Apes, looting and killing as they moved. Patiently, the ape-man pursued them. But there was other evil. In a small valley of the Ghenzi Mountains, the last remnants of an ugly, perverted people dwelled in what they called their faith. It was an ancient belief—one that had come with their ancestors from Rome nearly 2000 years before. Now they were wicked and many of them were insane. Now they had captured Lady Barbara Collis and meant to use her as a human sacrifice—unless Tarzan arrived in time!
Tarzan's Quest (Tarzan, #19);Edgar Rice Burroughs;https://www.goodreads.com/book/show/828192.Tarzan_s_Quest;1935;3.78;1016;['Fantasy', 'Adventure', 'Fiction', 'Classics', 'Action', 'Pulp', 'Thriller'];Tarzan of the Apes had heard only rumors of the Kavuru - a race of strange white savages. But when they stole the daugher of Muviro, chief of the Waziri, the Lord of the Jungle set on in search of their legend-shrouded village on a mission of rescue - or, if need be, of revenge. He could not know that his trail ran close to that of a strange group of survivors of a crashed plane - including his beloved mate, Jane - who struggled for survival against the terrors of Africa and an even worse danger within their own party. But the stranded Europeans and the ape-man were destined for a rendezvous of blood and fire - in the dreaded temple of the Kavuru.Cover Illustration: Boris Vallejo
The Autocracy of Mr Parham;H.G. Wells;https://www.goodreads.com/book/show/6100849-the-autocracy-of-mr-parham;1930;3.33;40;['Fiction', 'Classics'];Mr Parnham is in a quandary. Sir Bussy Woodcock has invited him to a siance and Mr Parnham is more than a little keen to keep the acquaintance going - after all, the great financier might just be his ticket to fame and fortune. But to a siance? Damned silly nonsense all this medium business! Just at the point of giving up Sir Bussy once and for all, Mr Parnham has one final change of mind and decides to go along after all. And so he does - with some very interesting results.
Druso;Friedrich Freksa;https://www.goodreads.com/book/show/49956596-druso;1960;3.67;3;[];
Almuric;Robert E. Howard;https://www.goodreads.com/book/show/409796.Almuric;1939;3.76;1404;['Fantasy', 'Science Fiction', 'Fiction', 'Adventure', 'Pulp', 'Sword and Planet', 'Sword and Sorcery'];The creator of Conan looks to the stars in one of fantasy's most enduring science fantasy classics! Robert E. Howard's Almuric is a savage planet of crumbling stone ruins and debased, near-human inhabitants. Into this world comes Esau Cairn, Earthman, swordsman, murderer. Only he can overthrow the terrible devils that enslave Almuric, but to do so he must first defeat the inner demons that forced him to abandon Earth. Filled with vile beasts and thrilling adventure in the tradition of Edgar Rice Burroughs, Almuric is one of Howard's few novels, and an excellent yarn from one of America's most distinct literary voices.
The Slithering Shadow;Robert E. Howard;https://www.goodreads.com/book/show/10536738-the-slithering-shadow;1933;3.75;383;['Fantasy', 'Short Stories', 'Fiction', 'Adventure', 'Horror', 'Pulp', 'Sword and Sorcery'];"1The desert shimmered in the heat waves. Conan the Cimmerian stared out over the aching desolation and involuntarily drew the back of his powerful hand over his blackened lips. He stood like a bronze image in the sand, apparently impervious to the murderous sun, though his only garment was a silk loin-cloth, girdled by a wide gold-buckled belt from which hung a saber and a broad-bladed poniard. On his clean-cut limbs were evidences of scarcely healed wounds.At his feet rested a girl, one white arm clasping his knee, against which her blond head drooped. Her white skin contrasted with his hard bronzed limbs; her short silken tunic, low-necked and sleeveless, girdled at the waist, emphasized rather than concealed her lithe figure.Conan shook his head, blinking. The sun's glare half blinded him. He lifted a small canteen from his belt and shook it, scowling at the faint splashing within.The girl moved wearily, whimpering.""Oh, Conan, we shall die here! I am so thirsty!""The Cimmerian growled wordlessly, glaring truculently at the surrounding waste, with outthrust jaw, and blue eyes smoldering savagely from under his black tousled mane, as if the desert were a tangible enemy.He stooped and put the canteen to the girl's lips.""Drink till I tell you to stop, Natala,"" he commanded.She drank with little panting gasps, and he did not check her. Only when the canteen was empty did she realize that he had deliberately allowed her to drink all their water supply, little enough that it was.Tears sprang to her eyes. ""Oh, Conan,"" she wailed, wringing her hands, ""why did you let me drink it all? I did not know--now there is none for you!""""Hush,"" he growled. ""Don't waste your strength in weeping.""Straightening, he threw the canteen from him.""Why did you do that?"" she whispered.More In The 'Conan' Stories Series by ADB Publishing(The Original) The Phoenix on the Sword (1932)(The Original) The Scarlet Citadel (1933)(The Original) The Tower of the Elephant (1933)(The Original) Black Colossus (1933)(The Original) The Slithering Shadow (1933) (This Book)(The Original) The Pool of the Black One (1933)(The Original) Gods of the North (1934)(The Original) Rogues in the House (1934)(The Original) Shadows in the Moonlight (1934)(The Original) Queen of the Black Coast (1934)(The Original) The Devil in Iron (1934)(The Original) The People of the Black Circle (1934)(The Original) A Witch Shall be Born(1934)(The Original) Jewels of Gwahlur (1935)(The Original) Beyond the Black River (1935)(The Original) Shadows in Zamboula (1935)(The Original) Red Nails (1936)(The Original) The Hour of the Dragon (novel) (1936)(The Original) The Hyborian Age (1938)"
Gladiator;Philip Wylie;https://www.goodreads.com/book/show/211809.Gladiator;1930;3.77;603;['Science Fiction', 'Fiction', 'Pulp', 'Superheroes', 'Classics', 'Novels', 'Comics'];First published in 1930, Gladiator is the tale of Hugo Danner, a man endowed from birth with extraodinary strength and speed. But Danner is no altruist. He spends his life trying to cope with his abilities, becoming a sports hero in college, later a sideshow act, a war hero, never truly finding peace with himself. The character of Danner inspired both Superman's creators, and Lester Dent's Doc Savage. But Wylie, an editor with the New Yorker, sought to develop more than a pulp hero. His Gladiator provides surprising insights into the difficulties suffered by the truly gifted when born in our midst.
Captain Salt in Oz;Ruth Plumly Thompson;https://www.goodreads.com/book/show/1990198.Captain_Salt_in_Oz;1936;3.68;131;['Fantasy', 'Fiction', 'Childrens', 'Classics', 'Juvenile'];Book 30 in The Wizard of Oz
Black Colossus (Conan the Barbarian, #4);Robert E. Howard;https://www.goodreads.com/book/show/10536737-black-colossus;1933;3.75;597;['Fantasy', 'Short Stories', 'Fiction', 'Adventure', 'Pulp', 'Sword and Sorcery', 'Classics'];Contents:* Black Colossus* Shadows in the Moonlight
Insatiability: A Novel in Two Parts;Stanisław Ignacy Witkiewicz;https://www.goodreads.com/book/show/3230480-insatiability;1930;3.91;512;['Fiction', 'Polish Literature', 'Poland', 'Classics', 'Literature', 'Novels', 'Politics'];In a decadent future Polish society, artists face a choice between death and the mind-altering Murti-Bing pills offered by the invading Chinese army
The Legion of Space (Legion of Space, #1);Jack Williamson;https://www.goodreads.com/book/show/854945.The_Legion_of_Space;1934;3.49;509;['Science Fiction', 'Space Opera', 'Fiction', 'Science Fiction Fantasy', 'Novels', 'Pulp', 'Adventure'];Space LegionnairesThey were the greatest trio of swashbuckling adventurers ever to ship out to the stars! There was giant Hal Samdu, rocklike Jay Kalam and the incomparable shrewd and knavish Giles Habibula.Here is there first thrilling adventure — the peril-packed attempt to rescue the most important person in the galaxy, keeper of the vital secret essential to humanity's survival in the deadly struggle against the incredibly evil Medusae...
The Tower of the Elephant;Robert E. Howard;https://www.goodreads.com/book/show/11493977-the-tower-of-the-elephant;1933;4.09;1358;['Fantasy', 'Short Stories', 'Fiction', 'Sword and Sorcery', 'Pulp', 'Adventure', 'Classics'];Conan infiltrates a perilous tower in the City of Thieves in order to steal a fabled gem from an evil sorcerer. A classic of Conan lore, often cited as one of Howard's best tales.
The Iron Star;John Taine;https://www.goodreads.com/book/show/2712922-the-iron-star;1930;3.14;7;['Science Fiction'];The novel concerns an African expedition. Swain, a member of the expedition, becomes demented and attempts to exterminate a peculiar species of African ape. The other members of the expedition are befriended by an intelligent ape called the Captain. The expedition discover that the apes are in fact humans that have evolved in reverse due to exposure to a meteor and that the Captain was once human.
The Circus of Dr. Lao;Charles G. Finney;https://www.goodreads.com/book/show/315736.The_Circus_of_Dr_Lao;1935;3.8;1413;['Fantasy', 'Fiction', 'Horror', 'Classics', 'Speculative Fiction', 'Magical Realism', 'Novels'];"Abalone, Arizona, is a sleepy southwestern town whose chief concerns are boredom and surviving the Great Depression. That is, until the circus of Dr. Lao arrives and immensely and irrevocably changes the lives of everyone drawn to its tents. Expecting a sideshow spectacle, the citizens of Abalone instead confront and learn profound lessons from the mythical made real--a chimera, a Medusa, a talking sphinx, a sea serpent, witches, the Hound of the Hedges, a werewolf, a mermaid, an ancient god, and the elusive, ever-changing Dr. Lao. The circus unfolds, spinning magical, dark strands that ensnare the town's the sea serpent's tale shatters love's illusions; the fortune-teller's shocking pronouncements toll the tedium and secret dread of every person's life; sensual undercurrents pour forth for men and women alike; and the dead walk again. Dazzling and macabre, literary and philosophical, The Circus of Dr. Lao has been acclaimed as a masterpiece of speculative fiction and influenced such writers as Ray Bradbury. This Bison Frontiers of Imagination edition features a new introduction by noted fantasy writer John Marco and striking illustrations by Boris Artzybasheff from the first edition."
The Scarlet Citadel;Robert E. Howard;https://www.goodreads.com/book/show/25482495-the-scarlet-citadel;1933;3.93;784;['Fantasy', 'Short Stories', 'Fiction', 'Adventure', 'Pulp', 'Classics', 'Sword and Sorcery'];Robert Ervin Howard (1906-1936) was an American pulp writer of fantasy, horror, historical adventure, boxing, western, and detective fiction. He is well known for having created the character Conan the Cimmerian, a literary icon whose pop-culture imprint can be compared to such icons as Tarzan of the Apes, Sherlock Holmes, and James Bond. Voracious reading, along with a natural talent for prose writing and the encouragement of teachers, conspired to create in Howard an interest in becoming a professional writer. One by one he discovered the authors that would influence his later work: Jack London and Rudyard Kipling. It's clear from Howard's earliest writings and the recollections of his friends that he suffered from severe depression from an early age. Friends recall him defending the act of suicide as a valid alternative as early as eighteen years old, while many of his stories and poems have a suicidal gloom and intensity that seem prescient in hindsight, describing such an end not as a tragedy but as a release from hell on earth.
The Saint: The Last Hero;Leslie Charteris;https://www.goodreads.com/book/show/64332.The_Saint;1930;3.78;607;['Mystery', 'Fiction', 'Thriller', 'Adventure', 'Crime', 'British Literature', 'Espionage'];Templar makes the acquaintance of his archvillain, destroys a dangerous death ray, and thereby saves the world from catastrophe and a second Great War. Written in 1930.
It Can't Happen Here;Sinclair Lewis;https://www.goodreads.com/book/show/11371.It_Can_t_Happen_Here;1935;3.78;20137;['Fiction', 'Classics', 'Politics', 'Dystopia', 'Historical Fiction', 'Literature', 'Audiobook'];"The only one of Sinclair Lewis's later novels to match the power of Main Street, Babbitt, and Arrowsmith, It Can't Happen Here is a cautionary tale about the fragility of democracy, an alarming, eerily timeless look at how fascism could take hold in America. Written during the Great Depression when America was largely oblivious to Hitler's aggression, it juxtaposes sharp political satire with the chillingly realistic rise of a President who becomes a dictator to ""save the nation."" Now finally back in print, It Can't Happen Here remains uniquely important, a shockingly prescient novel that's as fresh and contemporary as today's news."
The Phoenix on the Sword;Robert E. Howard;https://www.goodreads.com/book/show/11033840-the-phoenix-on-the-sword;1932;3.91;1362;['Fantasy', 'Short Stories', 'Fiction', 'Adventure', 'Sword and Sorcery', 'Pulp', 'Classics'];A classic short story full of sword and sorcery by Robert E. Howard, creator of Conan the Barbarian
The Cometeers (Legion of Space, #2);Jack Williamson;https://www.goodreads.com/book/show/898008.The_Cometeers;1936;3.55;121;['Science Fiction', 'Fiction', 'Adventure', 'Speculative Fiction', 'Science Fiction Fantasy', 'Space Opera'];"In the second book in the Legion of Space series, Jay Kalam, Hal Samdu and Giles Habibula fight The Cometeers, an alien race of energy beings controlling a ""comet"" which is really a giant force field containing a swarm of planets populated by their slaves. The slave races are of flesh and blood, but none are remotely similar to humans. The Cometeers cannot be destroyed by AKKA, as they are incorporeal from the Universe's point of view and exist for the most part in an alternate reality. The ruling Cometeers feed on their slaves and literally absorb their souls, leaving disgusting, dying hulks in their wake. It is said that they do so, as they were once fleshly entities themselves of various species. Hence, the ruling Cometeers keep other intelligent beings as slaves and ""cattle."" They fear AKKA, though, as it can erase all their possessions."
Maza of the Moon;Otis Adelbert Kline;https://www.goodreads.com/book/show/4031455-maza-of-the-moon;1930;3.48;62;['Science Fiction', 'Sword and Planet', 'Fantasy', 'Pulp', 'Fiction', 'Adventure'];"This astonishing science-fiction classic begins like a prophecy of today's space achievements--a missile is fired from Earth to hit the surface of the Moon. It is successful and the misslemen are heroes, until...the Moon fires back!Terrible Lunar missiles blast New York, London, and Paris. And an ultimatum is delivered from the unsuspected civilization of our satellite: ""You have attacked us! You will pay the penalty!""MAZA OF THE MOON is a novel of adventure, daring and heroism as a lone Earthman invades the Moon to find out the truth and save his world."
Dwellers in the Mirage;A. Merritt;https://www.goodreads.com/book/show/641141.Dwellers_in_the_Mirage;1932;3.7;446;['Fantasy', 'Science Fiction', 'Fiction', 'Horror', 'Pulp', 'Adventure', 'Sword and Sorcery'];Angry Warrior, Modern Man. . .Leif Langdon was suddenly ripped from the 20th century and plunged into the ancient world of The Mirage. But his entrance into this awesome land awakened the slumbering Dwayanu, who in this strange incarnation was also Leif. Thus, two-men-in-one battle with the beautiful witch-woman Lur and the ethereal beauty Evalie for the glory of The Mirage.
Murder Madness by Murray Leinster;Murray Leinster;https://www.goodreads.com/book/show/9636907-murder-madness-by-murray-leinster;1930;3.35;34;['Adventure', 'Horror', 'Science Fiction'];"This Halcyon Classics ebook is MURDER MADNESS by acclaimed science fiction/mystery writer Murray Leinster. Murder Madness! Seven Secret Service men had completely disappeared. Another had been found a screaming, homicidal maniac, whose fingers writhed like snakes. So Bell, of the secret ""Trade,"" plunges into South America after The Master--the mighty, unknown octopus of power whose diabolical poison threatens a continent!"
The Man Who Awoke;Laurence Manning;https://www.goodreads.com/book/show/2483439.The_Man_Who_Awoke;1933;3.98;191;['Science Fiction', 'Time Travel', 'Fiction'];Norman Winters puts himself into suspended animation for 5,000 years at a time. The stories detail his ensuing adventures as he tries to make sense of the societies he encounters each time he wakes.
Spacehounds of IPC;"E.E. ""Doc"" Smith";https://www.goodreads.com/book/show/1914572.Spacehounds_of_IPC;1972;3.73;862;['Science Fiction', 'Space Opera', 'Fiction', 'Science Fiction Fantasy', 'Adventure', 'Pulp'];When the Inter-Planetary Corporation's crack liner *Arcturus* took off on a routine flight to Mars, it turned out to be the beginning of a most unexpected and long voyage. Attacked by a mysterious spaceship, the liner crash-landed on Ganymede. The survivors first had to master that world's primeval terrors, then construct a new spacecraft, and finally, find a way to deal with the warring intelligences of the Jovian system. Spacehounds can do all these things, given time, resources, and freedom from attack. But . . hen will these things start to run out?
The Best of Stanley G. Weinbaum;Stanley G. Weinbaum;https://www.goodreads.com/book/show/1640224.The_Best_of_Stanley_G_Weinbaum;1974;4.07;267;['Science Fiction', 'Short Stories', 'Fiction', 'Classics', 'Fantasy', 'Collections', 'Science Fiction Fantasy'];Contents:A Martian Odyssey (1934)Valley of Dreams (1934)The Adaptive Ultimate (1935)Parasite Planet (1935)Pygmalion's Spectacles (1935)Shifting Seas (1937)The Worlds of If (1935)The Mad Moon (1935)Redemption Cairn (1936)The Ideal (1935)The Lotus Eaters (1935)Proteus Island (1936)
The Time Stream;John Taine;https://www.goodreads.com/book/show/2923292-the-time-stream;1931;3.33;21;['Science Fiction', 'Fiction', 'Time Travel'];"She Championed Love Against Science! Here is the rarely reprinted and highly-acclaimed classic, a stunning mixture of passionate romance and scientific adventure, that The Science Fiction Encyclopedia calls, ""one of the outstanding products of the early sf magazines * an elaborate time-travel adventure which helped extend the horizon of pulp sf."" Some time in the far past or distant future, in the advanced, scientific world of Eos, which just might be Earth, the woman Cheryl demands the right to marry the man she loves, even though genetic analysis shows any children they produce will have less than desirable genes. In a world of perfect freedom, Cheryl is free to do what she pleases. But then one of her four closest friends discovers that before Eos, an even mightier civilization flourished on their world, one that was destroyed then the ""beast"" was let out in human kind. Her friend thinks this ""beast"" could uncontrolled human passion and warns Cheryl's that her choice might somehow threaten their own world. When she demands proof, her four friends set off on a quest across their planet, and deep into its history and science, in search of answers. But wait, that's not where the story starts. It starts pages earlier, on our Earth, in the 20th century, when a woman who is also named Cheryl and her four friends enter the river of time as part of an experiment whose end they can not foresee. But have they been swept backward or forward? As the stream buffets them, they are sometimes on Eos, sometimes on Earth, sometimes on unnamed worlds that may be the future or the past. On all these worlds Cheryl stands firm for her right to the man she loves, convinced that love shows the right path. But does her intransigence spell the end or the beginning for the human race? Critic and historian E. F. Bleiler hailed John Taine's The Time Stream as one of the ""all time classics of science fiction * Taine's finest work * adult science fiction at its best."""
Cat Country: A Satirical Novel of China in the 1930's;Lao She;https://www.goodreads.com/book/show/2419417.Cat_Country;1932;3.63;1078;['Fiction', 'China', 'Science Fiction', 'Chinese Literature', 'Classics', 'Fantasy', 'Dystopia'];When a traveller from China crash-lands on Mars, he finds himself in a country inhabited entirely by Cat People. Befriended by a local cat-man, he becomes acquainted in all aspects of cat-life: he learns to speak Felinese, masters cat-poetry, and appreciates the narcotic effects of the reverie leaf – their food staple. But curiosity turns to despair when he ventures further into the heart of the country and the culture, and realizes that he is witnessing the bleak decline of a civilization. Cat Country, Lao She's only work of science fiction, is both a dark, dystopian tale of one man's close encounter with the feline kind and a scathing indictment of a country gone awry.
F.p. 1 antwortet nicht;Kurt Siodmak;https://www.goodreads.com/book/show/33309522-f-p-1-antwortet-nicht;1931;2.0;1;[];
Last Men in London;Olaf Stapledon;https://www.goodreads.com/book/show/2272271.Last_Men_in_London;1932;3.56;116;['Science Fiction', 'Time Travel', 'Dystopia', 'Speculative Fiction', 'Fiction'];Though this is a work of fiction, it does not pretend to be a novel. It has no hero but man. Since its purpose is not the characterization of individual human beings, no effort has been made to endow its few persons with distinctive personalities. There is no plot, except the theme of man's struggle in this awkward age to master himself and to come to terms with the universe.
The Port of Peril (Robert Grandon #3);Otis Adelbert Kline;https://www.goodreads.com/book/show/2353947.The_Port_of_Peril;1932;3.53;57;['Science Fiction', 'Sword and Planet', 'Fiction', 'Fantasy', 'Pulp', 'Adventure'];When Vernia, empress of Reabon, mightiest land of all Venus, was kidnapped by the strange marauders of the sea, it presented the Earthman, Robert Grandon, with his greatest challenge. On a world replete with terrifying beasts and unearthly antagonists, Grandon had already achieved fame for his swordplay and courage, but the search for Vernia would take him against foes beyond all he had previously encountered. THE PORT OF PERIL, Otis Adelbert Kline's concluding novel of Venusian adventure, amply demonstrates his high skill with fast-action science-fiction.
The Lady With the X-Ray Eyes;Svetoslav Minkov;https://www.goodreads.com/book/show/16106873-the-lady-with-the-x-ray-eyes;1934;3.65;894;['Bulgarian Literature', 'Classics', 'School', 'Short Stories', 'Bulgaria', 'Fiction', 'Science Fiction'];The Lady With the X-Ray Eyes (Bulgarian: Дамата с рентгеновите очи) is an absurdist fiction novel by Bulgarian writer Svetoslav Minkov, first published in Germany in 1934. It contains many sarcastic, parodic, diabolic and absurdist elements concerning the superficial nature of modern society. With this work Minkov laid the foundations of Bulgarian science fiction.
The Secret People;John Wyndham;https://www.goodreads.com/book/show/163907.The_Secret_People;1935;3.22;742;['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Adventure', 'Action', 'Africa'];'The Sun Bird was beginning to travel fast, close to the edge of the whirlpool. They could look right down into the hollow of spinning water' While flying over Africa's New Sea, a water project in the heart of the Sahara desert, Mark Sunnet's rocket plane crashes and is sucked through a hole in the desert floor into a strange, cavernous new world. There, he and his partner Margaret encounter the survivors of an ancient race of underground dwellers whose whole existence is now threatened. Captured and forced to live with other prisoners taken from the surface, the pair know that they must escape before the waters above drown them all . . . The Secret People, published in 1935, is John Wyndham's first novel. 'Perhaps the best writer of science fiction England has ever produced' Stephen King
Hidden World;Stanton A. Coblentz;https://www.goodreads.com/book/show/3316788-hidden-world;1935;3.1;39;['Science Fiction', 'Fiction', 'Science Fiction Fantasy'];A cliff overlooking tremendous galleries and caverns and, far below, two armies battling with powerful destructive weapons...this was the place into which Comstock and Clay had been thrust by what they thought was an earthquake. Here, below the desert - below the silver mine which the two had been exploring - were two hidden civilizations, deadly enemies, and the possessors of far-advanced scientific secrets.Separated from his companion, Frank Comstock found himself captured by chalk-faced people and brought into a civilization that was both bewildering and awe-inspiring. For while the people of this Alice-in-Wonderland land of Wu appeared to be scientific geniuses, they looked and acted like madmen!Also published as In Caverns Below
Quinzinzinzili;Régis Messac;https://www.goodreads.com/book/show/4626645-quinzinzinzili;1935;3.85;200;['Science Fiction', 'France', 'Dystopia', 'Fiction', 'Post Apocalyptic', 'Fantasy', 'Science Fiction Fantasy'];Bien sûr, cela fait des décennies que la littérature nous annonce l’anéantissement de la race humaine, notre capacité à nous détruire ne se discutant plus. Beaucoup de livres pour un sujet aussi crucial, mais dans le lot peu de chefs-d’oeuvre... Quinzinzinzili, ce roman au titre improbable, est pourtant de ceux-là, ses rares lecteurs n’en démordent pas, qui s’étonnent toujours de son ironie visionnaire, de son pessimisme halluciné et de ses trouvailles géniales. Publié en 1935, il a été imaginé par Régis Messac (1893-1945), considéré comme l’un des précurseurs du genre, et nous entraîne après le cataclysme, à la suite du dernier des adultes, témoin stupéfait de la renaissance du genre humain : sous ses yeux désabusés, un groupe d’enfants réinvente une Humanité dont l’Histoire a disparu. Et Messac, qui sait que la Civilisation est mortelle, nous offre le spectacle d’une poignée de gosses en train de lui régler son compte... Stupéfiant, Quinzinzinzili renaît et devrait susciter l’admiration de ceux qui croient davantage aux vertus des Lettres qu’à celles de l’Homme. Formidable précurseur, Régis Messac, né en 1893, fils d’instituteur, qui deviendra enseignant, il est le premier Français à s’être intéressé de près au « roman de détection » — appellation d’époque du polar — , en le portant sur les bancs de l’université avec une thèse qui fait date, « Le »Detective novel« et l’influence de la pensée scientifique », rédigée à son retour d’un long séjour en Amérique du Nord. Auteur prolifique sur une courte période, habile à manier l’anticipation et la chronique sociale, il s’était très tôt rebellé contre un système (on lui doit un pamphlet À bas le latin !) qui le marginalisera. Blessé à la guerre, il est un pacifiste convaincu. Il a une intense activité de critique (il écrit les premiers essais littéraires sur la S.F.), de traducteur et de romancier durant les années 30. Gagné par un pessimisme acide, il imagine des contre-utopies : Quinzinzinzili (1935), La Cité des Asphyxiés (1937) ou le posthume Valcrétin indiquent que rien de l’avenir « messacien » n’est souriant. Motivés par la provocation dont il espère qu’elle conduira à un soubresaut moral (« Où est le bonheur ? Dans l’accord avec son milieu. Si nous vivons parmi les Crétins, soyons crétins. »), ses récits présentent une vue panoramique de sociétés futures ou parallèles. Arrêté par les Allemands en 1943, déporté « Nacht und Nebel », il disparaît en Allemagne en 1945.
Stowaway to Mars;John Wyndham;https://www.goodreads.com/book/show/1492247.Stowaway_to_Mars;1935;3.22;1110;['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Space', 'Classics', 'Adventure'];Aircraft designer Dale Currance undertakes a journey to Mars in an effort to capture the prize being offered to the first man to complete an interplanetary journey, but a female stowaway throws his plans into disarray.An international prize of one billion has been offered to the first man to complete an interplanetary trip, and Dale Curtance, a millionaire adventurer, emerges as the British entrant. With a hand-picked crew, he blasted off from Salisbury Plain in the spaceship Gloria Mundi, destination—the planet Mars. Once free of Earth's atmosphere, they discover a stowaway—a woman. Her extraordinary story helps them prepare for the dangers they encounter on the Red Planet, and the fantastic world that exists there.
The Croquet Player;H.G. Wells;https://www.goodreads.com/book/show/1183741.The_Croquet_Player;1936;3.45;341;['Fiction', 'Horror', 'Classics', 'Mystery', 'Novels', 'Novella', 'British Literature'];Book by
Behind the Evidence;Peter  Reynolds;https://www.goodreads.com/book/show/13552077-behind-the-evidence;1936;3.5;2;[];
Star Begotten: A Biological Fantasia;H.G. Wells;https://www.goodreads.com/book/show/1917346.Star_Begotten;1937;3.44;269;['Science Fiction', 'Fiction', 'Classics', 'Fantasy', 'Science Fiction Fantasy', '20th Century', 'Collections'];"Star Begotten is a 1937 novel by H. G. Wells. It tells the story of a series of men who conjecture upon the possibility of the human species being altered by Martians to replace their own dying planet.The first (British) edition of this novel gives the title as two Star Begotten. The title is hyphenated in the first U.S. Star-Begotten.The book readdresses the idea of the existence of Martians, famously written about in The War of the Worlds (1898). The dialog of Star-Begotten makes brief cursory references Wells's earlier novel The War of the Worlds, referring to it as having been written by ""Conan Doyle or one of those people"".The protagonist of the story Joseph Davis, who is an author of popular histories, becomes overtaken with suspicion that he & his family have already been exposed & are starting to change."
