title;author;url;year;rate;ratings;genres;synopsis;decade
The Dosadi Experiment;Frank Herbert;https://www.goodreads.com/book/show/2011.The_Dosadi_Experiment;1977;3.83;7790;['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Speculative Fiction', 'Space Opera'];Beyond the God WallGenerations of a tormented human-alien people, caged on a toxic planet, conditioned by constant hunger and war-this is the Dosadi Experiment, and it has succeeded too well. For the Dosadi have bred for Vengeance as well as cunning, and they have learned how to pass through the shimmering God Wall to exact their dreadful revenge on the Universe that created them . . .;1970
A Scanner Darkly;Philip K. Dick;https://www.goodreads.com/book/show/14817.A_Scanner_Darkly;1977;4.02;103928;['Science Fiction', 'Fiction', 'Dystopia', 'Classics', 'Science Fiction Fantasy', 'Novels', 'Cyberpunk'];Substance D is not known as Death for nothing. It is the most toxic drug ever to find its way on to the streets of LA. It destroys the links between the brain's two hemispheres, causing, first, disorientation and then complete and irreversible brain damage.The undercover narcotics agent who calls himself Bob Arctor is desperate to discover the ultimate source of supply. But to find any kind of lead he has to pose as a user and, inevitably, without realising what is happening, Arctor is soon as addicted as the junkies he works among...;1970
Lucifer's Hammer;Larry Niven;https://www.goodreads.com/book/show/218467.Lucifer_s_Hammer;1977;4.0;44182;['Science Fiction', 'Fiction', 'Post Apocalyptic', 'Apocalyptic', 'Audiobook', 'Science Fiction Fantasy', 'Dystopia'];"THE LUCKY ONES WENT FIRST…The gigantic comet has slammed into Earth, forging earthquakes a thousand times too powerful to measure on the Richter scale, tidal waves thousands of feet high. Cities were turned into oceans; oceans turned into steam. It was the beginning of a new Ice Age and the end of civilizationBut for the terrified men and women chance had saved, it was also the dawn of a new struggle for survival—a struggle more dangerous and challenging than any they had ever known….";1970
Eon;Greg Bear;https://www.goodreads.com/book/show/840278.Eon;1977;3.88;29200;['Science Fiction', 'Space Opera', 'Time Travel', 'Science Fiction Fantasy', 'Audiobook', 'Space', 'Speculative Fiction'];"The 21st century was on the brink of nuclear confrontation when the 300 kilometer-long stone flashed out of nothingness and into Earth's orbit. NASA, NATO, and the UN sent explorers to the asteroid's surface...and discovered marvels and mysteries to drive researchers mad.For the Stone was from space--but perhaps not our space; it came from the future-but perhaps not our future; and within the hollowed asteroid was Thistledown. The remains of a vanished civilization. A human--English, Russian, and Chinese-speaking--civilization. Seven vast chambers containing forests, lakes, rivers, hanging cities...And museums describing the Death; the catastrophic war that was about to occur; the horror and the long winter that would follow. But while scientists and politicians bickered about how to use the information to stop the Death, the Stone yielded a secret that made even Earth's survival pale into insignificance.";1970
Dragonsinger;Anne McCaffrey;https://www.goodreads.com/book/show/28547.Dragonsinger;1977;4.3;47059;['Fantasy', 'Science Fiction', 'Dragons', 'Fiction', 'Young Adult', 'Science Fiction Fantasy', 'Audiobook'];Menolly needs more than music’s power to make it as a Harper in the second book in the Harper Hall trilogy, set within science fiction legend Anne McCaffrey’s beloved and bestselling Dragonriders of Pern series.In the world of Pern, Harpers are more powerful than kings, for the music they play can control the minds of others. For young Menolly, her dreams of becoming a Harper have nothing to do with power, but rather her love of music. Now she is finally living out her musical dreams as an apprentice Harper, but it’s turning out to be more challenging than she thought. Formerly forbidden to study music because of her gender, Menolly quickly encounters hostility from a number of her male peers and masters.With the help of new friends, teachers, and her nine tiny, colorful dragons, Menolly finds that her musical talents may be stronger than anyone could imagine.;1970
Gateway;Frederik Pohl;https://www.goodreads.com/book/show/218427.Gateway;1977;4.06;45450;['Science Fiction', 'Fiction', 'Space Opera', 'Hugo Awards', 'Audiobook', 'Science Fiction Fantasy', 'Classics'];Gateway opened on all the wealth of the Universe... and on reaches of unimaginable horror. When prospector Robinette Broadhead went out to Gateway on the Heechee spacecraft, he decided he would know which was the right mission to make him his fortune. Three missions later, now famous and permanently rich, Rob Broadhead has to face what happened to him and what he has become... in a journey into himself as perilous and even more horrifying than the nightmare trip through the interstellar void that he drove himself to take!;1970
Inherit the Stars;James P. Hogan;https://www.goodreads.com/book/show/776489.Inherit_the_Stars;1977;4.06;5402;['Science Fiction', 'Fiction', 'Audiobook', 'Mystery', 'Space', 'Fantasy', 'Science Fiction Fantasy'];"THE MAN ON THE MOON WAS DEAD. They called him Charlie. He had big eyes, abundant body hair and fairly long nostrils. His skeletal body was found clad in a bright red spacesuit, hidden in a rocky grave. They didn't know who he was, how he got there, or what had killed him. All they knew was that his corpse was 50,000 years old; and that meant that this man had somehow lived long before he ever could have existed!";1970
Mind of My Mind;Octavia E. Butler;https://www.goodreads.com/book/show/116254.Mind_of_My_Mind;1977;4.18;13817;['Science Fiction', 'Fiction', 'Fantasy', 'Speculative Fiction', 'Science Fiction Fantasy', 'Audiobook', 'Novels'];For 4,000 years, an immortal has spread the seeds of a master race, using the downtrodden as his private breeding stock. But now a young ghetto telepath has found a way to awaken -- and rule -- her superhuman kind, igniting a psychic battle as she challenges her creator for her right to free her people.;1970
Dreamsnake;Vonda N. McIntyre;https://www.goodreads.com/book/show/263021.Dreamsnake;1978;3.87;10744;['Science Fiction', 'Fantasy', 'Fiction', 'Post Apocalyptic', 'Hugo Awards', 'Audiobook', 'Speculative Fiction'];In a far-future, post-holocaust Earth, a young healer named Snake travels the world, healing the sick and injured with her companion, the alien dreamsnake. But she is being pursued. . . .;1970
The White Dragon;Anne McCaffrey;https://www.goodreads.com/book/show/127586.The_White_Dragon;1978;4.19;48419;['Fantasy', 'Science Fiction', 'Dragons', 'Fiction', 'Science Fiction Fantasy', 'Young Adult', 'High Fantasy'];Volume III of The Dragonriders of Pern®, the influential series by sci-fi/fantasy titan Anne McCaffreyNever in the history of Pern has there been a dragon like Ruth. Mocked by other dragons for his small size and pure white color, Ruth is smart, brave, and loyal—qualities that he shares with his rider, the young Lord Jaxom. Unfortunately, Jaxom is also looked down upon by his fellow lords, and by other riders as well. His dreams of joining the dragonriders in defending Pern are dismissed. What else can Jaxom and Ruth do but strike out on their own, pursuing in secret all they are denied? But in doing so, the two friends will find themselves facing a desperate choice—one that will push their bond to the breaking point . . . and threaten the future of Pern itself.;1970
A Swiftly Tilting Planet;Madeleine L'Engle;https://www.goodreads.com/book/show/77276.A_Swiftly_Tilting_Planet;1978;4.08;109381;['Fantasy', 'Young Adult', 'Fiction', 'Science Fiction', 'Childrens', 'Classics', 'Middle Grade'];"In this companion volume to A Wrinkle In Time (Newbery Award winner) and A Wind In The Door fifteen-year-old Charles Wallace and the unicorn Gaudior undertake a perilous journey through time in a desperate attempt to stop the destruction of the world by the mad dictator Madog Branzillo. They are not alone in their quest. Charles Wallace's sister, Meg - grown and expecting her first child, but still able to enter her brother's thoughts and emotions by ""kything"" - goes with him in spirit.";1970
Splinter of the Mind's Eye;Alan Dean Foster;https://www.goodreads.com/book/show/35204.Splinter_of_the_Mind_s_Eye;1978;3.27;11300;['Star Wars', 'Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Space Opera', 'Novels'];Luke Skywalker expected trouble when he volunteered to follow Princess Leia on her mission to the planet Circarpous. But he discovered that hidden on the planet was the Kaiburr crystal, a mysterious gem that would give the one who possessed it such powers over the Force that he would be all but invincible. In the wrong hands, the crystal could be deadly. So Luke had to find this treasure and find it fast....;1970
The Long Walk;Richard Bachman;https://www.goodreads.com/book/show/9014.The_Long_Walk;1978;4.08;194287;['Horror', 'Fiction', 'Dystopia', 'Thriller', 'Science Fiction', 'Audiobook', 'Fantasy'];"Against the wishes of his mother, sixteen-year-old Ray Garraty is about to compete in the annual grueling match of stamina and wits known as The Long Walk. One hundred boys must keep a steady pace of four miles per hour without ever stopping... with the winner being awarded ""The Prize""—anything he wants for the rest of his life. But, as part of this national tournament that sweeps through a dystopian America year after year, there are some harsh rules that Garraty and ninety-nine others must adhere to in order to beat out the rest. There is no finish line—the winner is the last man standing. Contestants cannot receive any outside aid whatsoever. Slow down under the speed limit and you're given a warning. Three warnings and you're out of the game—permanently...";1970
The Stand;Stephen         King;https://www.goodreads.com/book/show/87591651-the-stand;1978;4.35;776448;['Horror', 'Fiction', 'Fantasy', 'Science Fiction', 'Post Apocalyptic', 'Thriller', 'Dystopia'];First came the days of the plague. Then came the dreams. Dark dreams that warned of the coming of the dark man. The apostate of death, his worn-down boot heels tramping the night roads. The warlord of the charnel house and Prince of Evil. His time is at hand. His empire grows in the west and the Apocalypse looms.For hundreds of thousands of fans who read The Stand in its original version and wanted more, this new edition is Stephen King's gift. And those who are listening to The Stand for the first time will discover a triumphant and eerily plausible work of the imagination that takes on the issues that will determine our survival.;1970
The Hitch Hiker's Guide to the Galaxy: A Trilogy in Five Parts;Douglas Adams;https://www.goodreads.com/book/show/372299.The_Hitch_Hiker_s_Guide_to_the_Galaxy;1979;4.37;20614;['Science Fiction', 'Fiction', 'Fantasy', 'Humor', 'Science Fiction Fantasy', 'Novels', 'Space'];"* The Hitchhiker's Guide to the Galaxy* The Restaurant at the End of the Universe* Life, the Universe and Everything* So Long, and Thanks for all the Fish* Mostly HarmlessSuppose a good friend calmly told you over a round of drinks that the world was about to end? And suppose your friend went on to confess that he wasn't from around here at all, but rather from a small planet near Betelgeuse? And what if the world really did come to an end, but instead of being blown away, you found yourself hitching a ride on a spaceship with your buddy as a travelling companion?It happens to Arthur Dent.An ordinary guy from a small town in England, Arthur is one lucky sonofagun: his alien friend, Ford Prefect, is in fact a roving researcher for the universally bestselling Hitchhiker's Guide to the Galaxy ... and expert at seeing the cosmos on 30 Altairian dollars a day. Ford lives by the Guide's seminal bit of advice: Don't Panic. Which comes in handy when their first ride--on the very same vessel that demolished Earth to make way for a hyperspacial freeway--ends disastrously (they are booted out of an airlock). with 30 seconds of air in their lungs and the odd of being picked up by another ship 2^276,709 to 1 against, the pair are scooped up by the only ship in the universe powered by the Infinite Improbability Drive.But this (and the idea that Bogart movies and McDonald's hamburgers now exist only in his mind) is just the beginning of the weird things Arthur will have to get used to. For, on his travels, he'll encounter Zaphod Beeblebrox, the two-headed, three-armed ex-President of the Galaxy; Trillian, a sexy spacecadet he once tried to pick up at a cocktail party, now Zaphod's girlfriend; Marvin, a chronically depressed robot; and Slartibartfast, the award-winning engineer who built the Earth and travels in a spaceship disguised as a bistro.Arthur's crazed wanderings will take him from the restaurant at the end of the Universe (where the main dish of the day introduces itself and the floor show is doomsday), to the planet Krikkit (locked in Slo-Time to punish its inhabitants for trying to end the Universe), to Earth (huh? wait! wasn't it destroyed?!) to the very offices of The Hitchhiker's Guide itself as he and his friends quest for the answer to the Question of Life, the Universe and Everything ... and search for a really good cup of tea.Ready or not, Arthur Dent is in for one hell of a ride!";1970
The Fountains of Paradise;Arthur C. Clarke;https://www.goodreads.com/book/show/149049.The_Fountains_of_Paradise;1979;3.95;30340;['Science Fiction', 'Fiction', 'Hugo Awards', 'Classics', 'Science Fiction Fantasy', 'Space', 'Audiobook'];This Hugo and Nebula Award-winning novel is reissued in this trade paperback edition. Vannemar Morgan's dream of linking Earth with the stars requires a 24,000-mile-high space elevator. But first he must solve a million technical, political, and economic problems while allaying the wrath of God. Includes a new introduction by the author.;1970
Titan;John Varley;https://www.goodreads.com/book/show/49838.Titan;1979;3.95;9050;['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Space Opera', 'Aliens', 'Speculative Fiction'];When Cirrocco Jones, captain of the spaceship Ringmaster, and her crew are captured by Gaea, a planet-sized creature that orbits around Saturn, they find themselves inside a bizarre world inhabited by centaurs, harpies, and constantly shifting environments.;1970
The Hitchhiker’s Guide to the Galaxy;Douglas Adams;https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy;1979;4.23;1880941;['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Comedy', 'Audiobook', 'Science Fiction Fantasy'];"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide (""A towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: Zaphod Beeblebrox--the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant, and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years.Where are these pens? Why are we born? Why do we die? Why do we spend so much time between wearing digital watches? For all the answers stick your thumb to the stars. And don't forget to bring a towel!";1970
Kindred;Octavia E. Butler;https://www.goodreads.com/book/show/60931.Kindred;1979;4.3;230208;['Historical Fiction', 'Fiction', 'Science Fiction', 'Fantasy', 'Time Travel', 'Classics', 'Historical'];The visionary author’s masterpiece pulls us—along with her Black female hero—through time to face the horrors of slavery and explore the impacts of racism, sexism, and white supremacy then and now.Dana, a modern Black woman, is celebrating her 26th birthday with her new husband when she is snatched abruptly from her home in California and transported to the antebellum South. Rufus, the white son of a plantation owner, is drowning, and Dana has been summoned to save him. Dana is drawn back repeatedly through time to the slave quarters, and each time the stay grows longer, more arduous, and more dangerous until it is uncertain whether or not Dana’s life will end, long before it has a chance to begin.;1970
Dragondrums;Anne McCaffrey;https://www.goodreads.com/book/show/28553.Dragondrums;1979;4.1;36899;['Fantasy', 'Science Fiction', 'Dragons', 'Fiction', 'Young Adult', 'Science Fiction Fantasy', 'Audiobook'];As Menolly uncovers magic and intrigue, mischievous Piemur discovers the rhythm of adventure in the final book in the Harper Hall trilogy, set within science fiction legend Anne McCaffrey’s beloved and bestselling Dragonriders of Pern series.Mischievous Piemur is used to getting away with a lot. He has one of the most impressive voices at Harper Hall and, in the world of Pern, there are few things more important than the ability to sing and write songs. But when his voice begins to change, Piemur loses all confidence and questions everything he thought he knew about himself.No longer capable of singing, Piemur is sent on various errands by Masterharper Robinton, including the task of learning the complicated beats of the messenger drums. Piemur has no clue of the grand adventures that await him, and he’ll need to find the courage within himself to survive.;1970
Alien;Alan Dean Foster;https://www.goodreads.com/book/show/35125.Alien;1979;4.09;21172;['Science Fiction', 'Horror', 'Fiction', 'Aliens', 'Thriller', 'Audiobook', 'Space'];Based on the screenplay by Dan O'Bannon. The crew of the spaceship Nostromo wake from cryogenic sleep to distress signals from an unknown planet. One is attacked when they investigate a derelict alien craft. Safely on their way back to Sol, none foresee the real horror about to begin.;1970
The Great Dune Trilogy;Frank Herbert;https://www.goodreads.com/book/show/53764.The_Great_Dune_Trilogy;1979;4.37;61883;['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Space Opera', 'Novels'];Herbert's evocative, epic tales are set on the desert planet Arrakis, the focus for a complex political and military struggle with galaxy-wide repercussions. This volume includes the titles Dune, Dune Messiah and Children of Dune.;1970
The Shadow of the Torturer;Gene Wolfe;https://www.goodreads.com/book/show/60211.The_Shadow_of_the_Torturer;1980;3.83;30718;['Fantasy', 'Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Audiobook', 'Speculative Fiction', 'Classics'];The Shadow of the Torturer is the first volume in the four-volume series, The Book of the New Sun. It is the tale of young Severian, an apprentice in the Guild of Torturers on the world called Urth, exiled for committing the ultimate sin of his profession - showing mercy toward his victim - and follows his subsequent journey out of his home city of Nessus.;1980
Dragon's Egg;Robert L. Forward;https://www.goodreads.com/book/show/263466.Dragon_s_Egg;1980;4.12;9081;['Science Fiction', 'Fiction', 'Fantasy', 'Aliens', 'Hard Science Fiction', 'Science Fiction Fantasy', 'Space Opera'];"""In science fiction there is only a handful of books that stretch the mind--and this is one of them.""--Arthur C. Clarke  In a moving story of sacrifice and triumph, human scientists establish a relationship with intelligent lifeforms--the cheela--living on Dragon's Egg, a neutron star where one Earth hour is equivalent to hundreds of their years. The cheela culturally evolve from savagery to the discovery of science, and for a brief time, men are their diligent teachers.Praise for Dragon's Egg""Bob Forward writes in the tradition of Hal Clement's Mission of Gravity and carries it a giant step (how else?) forward.""--Isaac Asimov ""Dragon's Egg is superb. I couldn't have written it; it required too much real physics.""--Larry Niven ""This is one for the real science-fiction fan.""--Frank Herbert""Robert L. Forward tells a good story and asks a profound question. If we run into a race of creatures who live a hundred years while we live an hour, what can they say to us or we to them?""--Freeman J. Dyson""Forward has impeccable scientific credentials, and . . . big, original, speculative ideas.""--The Washington Post";1980
The Snow Queen;Joan D. Vinge;https://www.goodreads.com/book/show/139986.The_Snow_Queen;1980;3.95;12913;['Science Fiction', 'Fantasy', 'Fiction', 'Hugo Awards', 'Space Opera', 'Science Fiction Fantasy', 'Fairy Tales'];This reissue of a modern classic of science fiction, the Hugo and Locus Award-winning and Nebula-nominated The Snow Queen, marks the first time the book has been reprinted in fifteen years.The imperious Winter colonists have ruled the planet Tiamat for 150 years, deriving wealth from the slaughter of the sea mers. But soon the galactic stargate will close, isolating Tiamat, and the 150-year reign of the Summer primitives will begin. Their only chance at surviving the change is if Arienrhod, the ageless, corrupt Snow Queen, can destroy destiny with an act of genocide. Arienrhod is not without competition as Moon, a young Summer-tribe sibyl, and the nemesis of the Snow Queen, battles to break a conspiracy that spans space. Interstellar politics, a millennia-long secret conspiracy, and a civilization whose hidden machineries might still control the fate of worlds all form the background to this spectacular hard science fiction novel from Joan D. Vinge.;1980
Timescape;Gregory Benford;https://www.goodreads.com/book/show/778990.Timescape;1980;3.72;11221;['Science Fiction', 'Time Travel', 'Fiction', 'Science Fiction Fantasy', 'Novels', 'Hard Science Fiction', 'Audiobook'];The author of Tides of Light offers his Nebula Award-winning SF classic—a combination of hard science, bold speculation, and human drama. In the year 1998, a group of scientists works desperately to communicate with the scientists of 1962, warning of an ecological disaster that will destroy the oceans in the future—if it is not averted in the past.;1980
Wild Seed;Octavia E. Butler;https://www.goodreads.com/book/show/52318.Wild_Seed;1980;4.21;35543;['Fantasy', 'Science Fiction', 'Fiction', 'Historical Fiction', 'Science Fiction Fantasy', 'Speculative Fiction', 'Audiobook'];Doro is an entity who changes bodies like clothes, killing his hosts by reflex or design. He fears no one until he meets Anyanwu. Anyanwu is a shapeshifter who can absorb bullets and heal with a kiss and savage anyone who threatens her. She fears no one until she meets Doro. Together they weave a pattern of destiny (from Africa to the New World) unimaginable to mortals.;1980
Beyond the Blue Event Horizon;Frederik Pohl;https://www.goodreads.com/book/show/373399.Beyond_the_Blue_Event_Horizon;1980;3.95;13495;['Science Fiction', 'Fiction', 'Space Opera', 'Audiobook', 'Science Fiction Fantasy', 'Fantasy', 'Aliens'];"In Book Two of the Heechee Saga, Robinette Broadhead is on his way to making a fortune by bankrolling an expedition to the Food Factory--a Heechee spaceship that can graze the cometary cloud and transfor the basic elements of the universe into untold quantities of food. But even as he gambles on the breakthrough technology, he is wracked with the guilt of losing his wife, poised forever at the ""event horizon"" of a black hole where Robin had abaondoned her. As more and more information comes back from the expedition, Robin grows ever hopeful that he can rescue his beloved Gelle-Klara Moynlin. After three and a years, the factory is discovered to work, and a human is found aboard. Robin's suffering may be just about over....THE HEECHEE SAGABook GatewayBook Beyond the Blue Event HorizonBook Heechee RendezvousBook The Annals of the HeecheeFrom the Paperback edition.";1980
Congo;Michael Crichton;https://www.goodreads.com/book/show/7672.Congo;1980;3.62;172912;['Fiction', 'Science Fiction', 'Thriller', 'Adventure', 'Horror', 'Mystery', 'Suspense'];Deep in the African rain forest, near the legendary ruins of the Lost City of Zinj, an expedition of eight American geologists is mysteriously and brutally killed in a matter of minutes.Ten thousand miles away, Karen Ross, the Congo Project Supervisor, watches a gruesome video transmission of the aftermath: a camp destroyed, tents crushed and torn, equipment scattered in the mud alongside dead bodies — all motionless except for one moving image — a grainy, dark, man-shaped blur.In San Francisco, primatologist Peter Elliot works with Amy, a gorilla with an extraordinary vocabulary of 620 “signs,” the most ever learned by a primate, and she likes to fingerpaint. But recently, her behavior has been erratic and her drawings match, with stunning accuracy, the brittle pages of a Portuguese print dating back to 1642 . . . a drawing of an ancient lost city. A new expedition — along with Amy — is sent into the Congo where they enter a secret world, and the only way out may be through a horrifying death …source: michaelcrichton.com;1980
Sundiver;David Brin;https://www.goodreads.com/book/show/96472.Sundiver;1980;3.69;26739;['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Mystery', 'Aliens', 'Speculative Fiction', 'Fantasy'];“The Uplift books are as compulsive reading as anything ever published in the genre.”— The Encyclopedia of Science FictionIn all the universe, no species has ever reached for the stars without the guidance of a patron—except perhaps mankind. Did some mysterious race begin the uplift of humanity aeons ago? And if so, why did they abandon us? Circling the sun, under the caverns of Mercury, Expedition Sundiver prepares for the most momentous voyage in our history. A journey into the boiling inferno of the sun . . . to seek our destiny in the cosmic order of life.David Brin's Uplift novels are among the most thrilling and extraordinary science fiction ever written. Sundiver, Startide Rising, and The Uplift War —a New York Times bestseller—together make up one of the most beloved sagas of all time. Brin's tales are set in a future universe in which no species can reach sentience without being “uplifted” by a patron race. But the greatest mystery of all remains unsolved. . . .“Superb”— Science Fiction Times;1980
The Number of the Beast;Robert A. Heinlein;https://www.goodreads.com/book/show/50877.The_Number_of_the_Beast;1980;3.62;13008;['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Time Travel', 'Speculative Fiction', 'Adventure'];When two male and two female supremely sensual, unspeakably cerebral humans find themselves under attack from aliens who want their awesome quantum breakthrough, they take to the skies -- and zoom into the cosmos on a rocket roller coaster ride of adventure and danger, ecstasy and peril.;1980
The Ringworld Engineers;Larry Niven;https://www.goodreads.com/book/show/61181.The_Ringworld_Engineers;1980;3.88;32781;['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Space Opera', 'Audiobook', 'Fantasy', 'Adventure'];"""This rousing sequel to the classic Ringworld continues the adventures of Louis Wu and Speaker-to-Animals on that fantastic planet.""--School Library Journal";1980
Mockingbird;Walter Tevis;https://www.goodreads.com/book/show/323172.Mockingbird;1980;4.16;10390;['Science Fiction', 'Fiction', 'Dystopia', 'Post Apocalyptic', 'Audiobook', 'Robots', 'Speculative Fiction'];Mockingbird is a powerful novel of a future world where humans are dying. Those that survive spend their days in a narcotic bliss or choose a quick suicide rather than slow extinction. Humanity's salvation rests with an android who has no desire to live, and a man and a woman who must discover love, hope, and dreams of a world reborn.;1980
Firestarter;Stephen         King;https://www.goodreads.com/book/show/233667.Firestarter;1980;3.91;233047;['Horror', 'Fiction', 'Thriller', 'Science Fiction', 'Fantasy', 'Paranormal', 'Suspense'];"This a previously-published edition of ISBN 0451167805.The Department of Scientific Intelligence (aka ""The Shop"") never anticipated that two participants in their research program would marry and have a child. Charlie McGee inherited pyrokinetic powers from her parents, who had been given a low-grade hallucinogen called ""Lot Six"" while at college. Now the government is trying to capture young Charlie and harness her powerful firestarting skills as a weapon.--stephenking.com";1980
Star Wars: The Empire Strikes Back;Donald F. Glut;https://www.goodreads.com/book/show/77111.Star_Wars;1980;4.1;13110;['Star Wars', 'Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Space Opera'];Although they had won a significant battle, the war between the Rebels and the Empire had really just begun. Soon, Luke, Han, the princess and their faithful companions were forced to flee, scattering in all directions—the Dark Lord's minions in fevered pursuit....;1980
The Restaurant at the End of the Universe;Douglas Adams;https://www.goodreads.com/book/show/8695.The_Restaurant_at_the_End_of_the_Universe;1980;4.2;295820;['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Comedy', 'Classics', 'Audiobook'];"alternate edition for ISBN 0345418921/9780345418920Facing annihilation at the hands of the warlike Vogons is a curious time to have a cosmically displaced Arthur Dent and his curious comrades in arms as they hurtle through space powered by pure improbability - and desperately in search of a place to eat. Among Arthur's motley shipmates are Ford Prefect, a long-time friend and contributor to the The Hitch Hiker's Guide to the Galaxy; Zaphod Beeblebrox, the three-armed, two-headed ex-president of the galaxy; Tricia McMilan, a fellow Earth refuge who's gone native (her name is Trillian now); and Marvin, who suffers nothing and no one gladly.Source: douglasadams.com";1980
Downbelow Station;C.J. Cherryh;https://www.goodreads.com/book/show/57045.Downbelow_Station;1981;3.9;15704;['Science Fiction', 'Fiction', 'Space Opera', 'Hugo Awards', 'Science Fiction Fantasy', 'Space', 'Speculative Fiction'];A legend among sci-fi readers, C. J. Cherryh's Union-Alliance novels, while separate and complete in themselves, are part of a much larger tapestry—a future history spanning 5,000 years of human civilization. A blockbuster space opera of the rebellion between Earth and its far-flung colonies, it is a classic science fiction masterwork.;1980
The Divine Invasion;Philip K. Dick;https://www.goodreads.com/book/show/216398.The_Divine_Invasion;1981;3.82;9076;['Science Fiction', 'Fiction', 'Religion', 'Fantasy', 'Philosophy', 'Novels', 'Science Fiction Fantasy'];"In The Divine Invasion, Philip K. Dick asks: What if God — or a being called Yah — were alive and in exile on a distant planet? How could a second coming succeed against the high technology and finely tuned rationalized evil of the modern police state?The Divine Invasion ""blends Judaism, Kabalah, Zoroastrianism, and Christianity into a fascinating fable of human existence""--West Coast Review of Books";1980
The Claw of the Conciliator;Gene Wolfe;https://www.goodreads.com/book/show/463376.The_Claw_of_the_Conciliator;1981;3.99;15340;['Fantasy', 'Science Fiction', 'Fiction', 'Audiobook', 'Science Fiction Fantasy', 'Speculative Fiction', 'Classics'];"Severian is in possession of a gem considered to be ""The Claw of the Conciliator"", a powerful relic of the Master of Power, a legendary figure of mythic proportions. Armed with his sword, Terminus Est, and the Claw, Severian continues his journey to Thrax, the city of his exile. Bizarre apes, strange cannibalistic rituals, and the foreigner named Jonas all lie in his future.";1980
God Emperor of Dune;Frank Herbert;https://www.goodreads.com/book/show/44439415-god-emperor-of-dune;1981;3.88;121652;['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Classics', 'Audiobook', 'Space Opera'];Book four in Frank Herbert's magnificent Dune Chronicles--one of the most significant sagas in the history of literary science fiction.Millennia have passed on Arrakis, and the once-desert planet is green with life. Leto Atreides, the son of the world's savior, the Emperor Paul Muad'Dib, is still alive but far from human. To preserve humanity's future, he sacrificed his own by merging with a sandworm, granting him near immortality as God Emperor of Dune for the past thirty-five hundred years.Leto's rule is not a benevolent one. His transformation has made not only his appearance but his morality inhuman. A rebellion, led by Siona, a member of the Atreides family, has risen to oppose the despot's rule. But Siona is unaware that Leto's vision of a Golden Path for humanity requires her to fulfill a destiny she never wanted--or could possibly conceive....Includes an introduction by Brian Herbert;1980
VALIS;Philip K. Dick;https://www.goodreads.com/book/show/216377.VALIS;1981;3.92;30586;['Science Fiction', 'Fiction', 'Philosophy', 'Religion', 'Novels', 'Science Fiction Fantasy', 'Fantasy'];"VALIS is the first book in Philip K. Dick's incomparable final trio of novels (the others being The Divine Invasion and The Transmigration of Timothy Archer). This disorienting and bleakly funny work is about a schizophrenic hero named Horselover Fat; the hidden mysteries of Gnostic Christianity; and reality as revealed through a pink laser. VALIS is a theological detective story, in which God is both a missing person and the perpetrator of the ultimate crime.";1980
The Pride of Chanur;C.J. Cherryh;https://www.goodreads.com/book/show/1197129.The_Pride_of_Chanur;1981;3.94;7409;['Science Fiction', 'Fiction', 'Space Opera', 'Fantasy', 'Aliens', 'Science Fiction Fantasy', 'Space'];When Tully, a fugitive from a spaceship captured by the arrogant, thieving, rodent-like Kif, takes refuge on the Pride of Chanur, a merchant vessel belonging to a clan of the lion-like Hani, Pyanfar Chanur, its captain, gives him shelter, in spite of all the dangers she and her crew will face.;1980
